TCGA-05-4395-01_RNA.bamVSTCGA-05-4403_RNA.bam,TCGA-18-4721-01.bamVSTCGA-60-2695-01.bam,TCGA-20-1683-01.bamVSTCGA-30-1862-01.bam,TCGA-20-1684-01.bamVSTCGA-61-2016-01.bam,TCGA-22-5471-01.bamVSTCGA-22-4607-01.bam,TCGA-23-1110-01.bamVSTCGA-13-0725-01.bam,TCGA-24-2261-01.bamVSTCGA-29-2414-01.bam,TCGA-3C-AALK-01.bamVSTCGA-LD-A7W5-01.bam,TCGA-43-3920-01_RNA.bamVSTCGA-43-5670-01_RNA.bam,TCGA-58-8393-01.bamVSTCGA-21-5782-01.bam,TCGA-85-8070-01.bamVSTCGA-85-8584-01.bam,TCGA-AP-A1DK-01.bamVSTCGA-B5-A11E-01.bam,TCGA-AP-A1DV-01.bamVSTCGA-D1-A0ZP-01.bam,TCGA-AX-A2HD-01.bamVSTCGA-D1-A17B-01.bam,TCGA-B5-A3FC-01.bamVSTCGA-AX-A2HC-01.bam,TCGA-BG-A0MS-01_RNA.bamVSTCGA-D1-A2G6_RNA.bam,TCGA-BH-A0C1-01.bamVSTCGA-AQ-A7U7-01.bam,TCGA-BR-8284-01.bamVSTCGA-D7-A6EY-01.bam,TCGA-C5-A1M7-01.bamVSTCGA-C5-A2M1-01.bam,TCGA-CD-8527-01.bamVSTCGA-CD-5803-01.bam,TCGA-CN-A641-01.bamVSTCGA-F7-7848-01.bam,TCGA-CV-7236-01.bamVSTCGA-CV-7425-01.bam,TCGA-DK-A1AC-01_RNA.bamVSTCGA-DK-A1AD_RNA.bam,TCGA-DK-AA6Q-01.bamVSTCGA-XF-A8HH-01.bam,TCGA-DM-A1D4-01.bamVSTCGA-A6-4105-01.bam,TCGA-DM-A1HB-01.bamVSTCGA-AZ-6605-01.bam,TCGA-DU-A6S8-01.bamVSTCGA-FG-A713-01.bam,TCGA-EW-A1PB-01_RNA.bamVSTCGA-A2-A259_RNA.bam,TCGA-EX-A69M-01.bamVSTCGA-VS-A9V3-01.bam,TCGA-EY-A2OM-01.bamVSTCGA-FI-A2D0-01.bam,TCGA-G9-6385-01_RNA.bamVSTCGA-HC-7232_RNA.bam,TCGA-IR-A3LL-01_RNA.bamVSTCGA-IR-A3LA_RNA.bam,TCGA-JW-A5VJ-01.bamVSTCGA-JW-A5VH-01.bam,TCGA-KC-A4BR-01.bamVSTCGA-XK-AAIR-01.bam,TCGA-KP-A3W0-01.bamVSTCGA-EO-A3AU-01.bam,TCGA-SX-A71U-01.bamVSTCGA-EV-5903-01.bam,TCGA-VP-A87D-01.bamVSTCGA-2A-A8W1-01.bam
2.51327745171004e-07,0,1.0991207943789e-14,0,0,0,0,3.18016664846432e-06,1.59289331724821e-08,0,0,0,1.84590412342089e-05,0.0001587417119433,5.55111512312578e-16,0.00403096539601155,0.00605510932271724,0,0,0,0,0.00897107773397521,0.798268817892687,0,0,7.72142727534231e-09,0.000689691189099118,0.0376556116927712,0,1.04138900537398e-05,0.419737178576772,1.55431223447522e-15,0.213832348660493,1.68034364200764e-10,1.04138900537398e-05,0,0
0.989813699235689,0.594521133003232,0.999942758442716,0.99137579104805,0.99137579104805,0.920633392531837,0.925651949294819,0.99137579104805,0.999942758442716,0.279042745522634,0.925651949294819,0.175391028601974,0.594521133003232,0.279042745522634,0.925651949294819,0.999900633638986,0.778914912323089,0.420178245593894,0.999942758442716,0.420178245593894,0.99137579104805,0.999900633638986,0.999942758442716,0.925651949294819,0.772261448040096,0.99137579104805,0.999942758442716,0.925651949294819,0.99137579104805,0.772261448040096,0.925651949294819,0.999900633638986,0.99137579104805,0.999999999994823,0.99137579104805,0.778914912323089,0.925651949294819
3.22545067192853e-18,3.01745811162254e-24,6.56914038033372e-15,2.59528185638134e-19,3.61787600166755e-24,1.65630480336334e-15,1.21917880318908e-18,0.000105913647124161,2.29754757069731e-20,1.31196524560606e-24,2.46686949682286e-23,8.06719156739163e-21,1.14469653142484e-07,0.000309286009082989,1.1284803187464e-12,0.00194743689178986,0.316007677444738,1.22690399580924e-15,9.11171109598526e-17,1.57227363069307e-25,4.80451287884754e-24,0.0107678248531333,0.0244418904864462,2.01576812712941e-19,5.88157588667116e-25,9.65587543556807e-06,0.0209167214048024,0.00017793636496441,9.52994758077209e-15,0.308164789082731,0.0691163150379407,1.17688463160483e-23,0.60642672979626,3.98922389512897e-08,4.95786915845854e-09,2.13733158448164e-21,6.88091340032816e-24
0.0872652611187732,9.0949470177293e-12,1.03056117950473e-06,2.27373675443232e-11,5.21868059877307e-09,3.5205948734074e-06,9.72249836195262e-10,4.93092320539291e-05,3.96931682189461e-07,9.0949470177293e-13,3.37422534357757e-10,9.0949470177293e-13,4.065441316925e-10,1.53704604599625e-10,6.24649692326785e-06,0.0336611878419717,1.81898940354586e-12,3.38786776410416e-09,0.00344742929155473,9.0949470177293e-13,2.53421603702009e-08,0.075684526213081,0.0100329280676306,4.62141542811879e-08,2.79214873444289e-10,0.0615665527539022,0.969327550419621,1.57700014824514e-07,8.19500201032498e-08,6.93034962750973e-10,2.51475285040215e-09,0.159382070934043,6.45180989522488e-07,0.179686504743586,0.0336611878419717,9.0949470177293e-12,2.27373675443232e-11
1,1,3.28457019016686e-15,1,1,0.999999999999999,1,5.29568235620806e-05,1.14877378534865e-20,6.55982622803032e-25,1,1,5.72348265712421e-08,0.999847081944064,5.642401593732e-13,0.99903415875384,0.158003838722369,0.999999999999999,1,1,2.40225643942377e-24,0.00538391242656667,0.987841547320197,1.00788406356471e-19,1,4.82793771778403e-06,0.989596221027942,8.89681824822051e-05,4.76497379038605e-15,0.846416313341483,0.0345581575189704,5.88442315802415e-24,0.30321336489813,0.999999980275635,0.999999997550308,1,1
0.957578101301351,4.54747350886465e-12,0.99999953016686,0.99999999999136,0.999999997736268,0.999998381557816,0.999999999588908,2.46546160269646e-05,0.999999820306584,4.54747350886465e-13,0.999999999860393,1,0.999999999831289,0.9999999999377,3.12324846163393e-06,0.0168305939209859,9.0949470177293e-13,0.999999998538897,0.998353249798583,1,1.26710801851005e-08,0.0378422631065405,0.995180756812715,2.31070771405939e-08,0.999999999884949,0.0307832763769511,0.48466377520981,7.88500074122568e-08,4.09750100516249e-08,3.46517481375486e-10,0.999999998919975,0.0796910354670217,0.999999706854396,0.912258847138219,0.983725356392824,0.999999999996817,0.99999999999136
1.61272533596427e-18,1.50872905581127e-24,0.999999999999997,1.29764092819067e-19,1.80893800083377e-24,8.28152401681671e-16,6.09589401594539e-19,0.999947470954396,1,1,1.23343474841143e-23,4.03359578369582e-21,0.999999943380989,0.000154643004541494,0.999999999999444,0.000973718445894928,0.842472006798261,6.13451997904622e-16,4.55585554799263e-17,7.86136815346533e-26,1,0.994646493585155,0.0122209452432231,1,2.94078794333558e-25,0.999995216468639,0.0104583607024012,0.999911852432498,0.999999999999995,0.154082394541366,0.96560231414979,1,0.697475881943828,1.99461194756449e-08,2.47893457922927e-09,1.06866579224082e-21,3.44045670016408e-24
0.0436326305593866,0.999999999996817,5.15280589752366e-07,1.13686837721616e-11,2.60934029938654e-09,1.7602974367037e-06,4.86124918097631e-10,0.999976970448643,1.98465841094731e-07,1,1.68711267178878e-10,4.54747350886465e-13,2.0327206584625e-10,7.68523022998126e-11,0.999997117961811,0.983725356392824,0.999999999999545,1.69393388205208e-09,0.00172371464577737,4.54747350886465e-13,0.999999988804575,0.96323871434879,0.00501646403381529,0.999999979461336,1.39607436722145e-10,0.970131942849093,0.520444466578283,0.999999929135356,0.999999963383743,0.999999999708962,1.25737642520108e-09,0.922233310273896,3.22590494761244e-07,0.0898432523717929,0.0168305939209859,4.54747350886465e-12,1.13686837721616e-11
1.25663872593987e-07,3.99940067246966e-56,0.993127174913377,7.25632251429949e-21,1.58864059853904e-47,6.77860158919754e-20,2.32551640787133e-21,0.780144701259463,1,0.993127174913377,7.41421619111606e-44,6.58841316025745e-29,0.993127174913377,7.9370855971703e-05,1,0.00201548271450704,0.501749056154897,7.04670820946071e-23,7.04670820946071e-23,3.9856511444782e-52,1,0.972790817661255,0.434098957317318,0.972790817661255,2.2216229545191e-34,1,0.000344845594563709,0.895525280227947,0.993127174913377,5.20694502688886e-06,0.258793679773399,1,0.107047484924668,8.40171643885887e-11,5.20694502688886e-06,1.67733417820656e-32,5.7395027560358e-37
0.676891758811994,0.975904794542392,0.802910366043496,0.676891758811994,0.676891758811994,0.543483409839564,0.543483409839564,0.975904794542392,0.802910366043496,1,0.543483409839564,0.0872459279329869,0.302667041316609,0.138676727477369,0.907047032123695,0.907047032123695,1,0.209931160372348,0.802910366043496,0.209931160372348,0.975904794542392,0.907047032123695,0.802910366043496,0.975904794542392,0.41559303429868,0.907047032123695,0.907047032123695,0.802910366043496,0.907047032123695,0.975904794542392,0.543483409839564,0.802910366043496,0.676891758811994,0.907047032123695,0.676891758811994,0.41559303429868,0.543483409839564
1,0.993127174913377,5.4975010601557e-15,1,1,0.993127174913377,0.993127174913377,1.59008332422698e-06,7.96446661388067e-09,5.65584519819032e-62,1,0.993127174913377,9.2295206170822e-06,0.571997482031322,2.97319564754966e-16,1,0.00302755474537581,0.895525280227947,0.939818069516759,1,1.67733417820656e-32,0.00448553927180452,0.643148707342208,7.04670820946071e-23,1,3.86071362697225e-09,0.71324447547631,0.0188279315102582,1.4202645152675e-17,0.895525280227947,0.211882344332697,7.97127333888231e-16,0.171098264490972,0.972790817661255,0.895525280227947,0.993127174913377,0.993127174913377
0.907047032123695,0.302667041316609,0.975904794542392,0.975904794542392,0.975904794542392,0.907047032123695,0.975904794542392,0.676891758811994,0.802910366043496,0.138676727477369,0.975904794542392,1,1,1,0.543483409839564,0.802910366043496,0.41559303429868,1,0.907047032123695,1,0.676891758811994,0.802910366043496,0.802910366043496,0.543483409839564,0.975904794542392,0.676891758811994,0.802910366043496,0.543483409839564,0.676891758811994,0.41559303429868,1,0.802910366043496,0.975904794542392,0.907047032123695,0.907047032123695,1,0.975904794542392
2.51327745171004e-07,0,1.0991207943789e-14,0,0,0,0,3.18016664846432e-06,1.59289331724821e-08,0,0,0,1.84590412342089e-05,0.0001587417119433,5.55111512312578e-16,0.00403096539601155,0.00605510932271724,0,0,0,0,0.00897107773397521,0.798268817892687,0,0,7.72142727534231e-09,0.000689691189099118,0.0376556116927712,0,1.04138900537398e-05,0.419737178576772,1.55431223447522e-15,0.213832348660493,1.68034364200764e-10,1.04138900537398e-05,0,0
0.989813699235689,0.594521133003232,0.999942758442716,0.99137579104805,0.99137579104805,0.920633392531837,0.925651949294819,0.99137579104805,0.999942758442716,0.279042745522634,0.925651949294819,0.175391028601974,0.594521133003232,0.279042745522634,0.925651949294819,0.999900633638986,0.778914912323089,0.420178245593894,0.999942758442716,0.420178245593894,0.99137579104805,0.999900633638986,0.999942758442716,0.925651949294819,0.772261448040096,0.99137579104805,0.999942758442716,0.925651949294819,0.99137579104805,0.772261448040096,0.925651949294819,0.999900633638986,0.99137579104805,0.999999999994823,0.99137579104805,0.778914912323089,0.925651949294819
3.22545067192853e-18,3.01745811162254e-24,6.56914038033372e-15,2.59528185638134e-19,3.61787600166755e-24,1.65630480336334e-15,1.21917880318908e-18,0.000105913647124161,2.29754757069731e-20,1.31196524560606e-24,2.46686949682286e-23,8.06719156739163e-21,1.14469653142484e-07,0.000309286009082989,1.1284803187464e-12,0.00194743689178986,0.316007677444738,1.22690399580924e-15,9.11171109598526e-17,1.57227363069307e-25,4.80451287884754e-24,0.0107678248531333,0.0244418904864462,2.01576812712941e-19,5.88157588667116e-25,9.65587543556807e-06,0.0209167214048024,0.00017793636496441,9.52994758077209e-15,0.308164789082731,0.0691163150379407,1.17688463160483e-23,0.60642672979626,3.98922389512897e-08,4.95786915845854e-09,2.13733158448164e-21,6.88091340032816e-24
0.0872652611187732,9.0949470177293e-12,1.03056117950473e-06,2.27373675443232e-11,5.21868059877307e-09,3.5205948734074e-06,9.72249836195262e-10,4.93092320539291e-05,3.96931682189461e-07,9.0949470177293e-13,3.37422534357757e-10,9.0949470177293e-13,4.065441316925e-10,1.53704604599625e-10,6.24649692326785e-06,0.0336611878419717,1.81898940354586e-12,3.38786776410416e-09,0.00344742929155473,9.0949470177293e-13,2.53421603702009e-08,0.075684526213081,0.0100329280676306,4.62141542811879e-08,2.79214873444289e-10,0.0615665527539022,0.969327550419621,1.57700014824514e-07,8.19500201032498e-08,6.93034962750973e-10,2.51475285040215e-09,0.159382070934043,6.45180989522488e-07,0.179686504743586,0.0336611878419717,9.0949470177293e-12,2.27373675443232e-11
1,1,3.28457019016686e-15,1,1,0.999999999999999,1,5.29568235620806e-05,1.14877378534865e-20,6.55982622803032e-25,1,1,5.72348265712421e-08,0.999847081944064,5.642401593732e-13,0.99903415875384,0.158003838722369,0.999999999999999,1,1,2.40225643942377e-24,0.00538391242656667,0.987841547320197,1.00788406356471e-19,1,4.82793771778403e-06,0.989596221027942,8.89681824822051e-05,4.76497379038605e-15,0.846416313341483,0.0345581575189704,5.88442315802415e-24,0.30321336489813,0.999999980275635,0.999999997550308,1,1
0.957578101301351,4.54747350886465e-12,0.99999953016686,0.99999999999136,0.999999997736268,0.999998381557816,0.999999999588908,2.46546160269646e-05,0.999999820306584,4.54747350886465e-13,0.999999999860393,1,0.999999999831289,0.9999999999377,3.12324846163393e-06,0.0168305939209859,9.0949470177293e-13,0.999999998538897,0.998353249798583,1,1.26710801851005e-08,0.0378422631065405,0.995180756812715,2.31070771405939e-08,0.999999999884949,0.0307832763769511,0.48466377520981,7.88500074122568e-08,4.09750100516249e-08,3.46517481375486e-10,0.999999998919975,0.0796910354670217,0.999999706854396,0.912258847138219,0.983725356392824,0.999999999996817,0.99999999999136
1.61272533596427e-18,1.50872905581127e-24,0.999999999999997,1.29764092819067e-19,1.80893800083377e-24,8.28152401681671e-16,6.09589401594539e-19,0.999947470954396,1,1,1.23343474841143e-23,4.03359578369582e-21,0.999999943380989,0.000154643004541494,0.999999999999444,0.000973718445894928,0.842472006798261,6.13451997904622e-16,4.55585554799263e-17,7.86136815346533e-26,1,0.994646493585155,0.0122209452432231,1,2.94078794333558e-25,0.999995216468639,0.0104583607024012,0.999911852432498,0.999999999999995,0.154082394541366,0.96560231414979,1,0.697475881943828,1.99461194756449e-08,2.47893457922927e-09,1.06866579224082e-21,3.44045670016408e-24
0.0436326305593866,0.999999999996817,5.15280589752366e-07,1.13686837721616e-11,2.60934029938654e-09,1.7602974367037e-06,4.86124918097631e-10,0.999976970448643,1.98465841094731e-07,1,1.68711267178878e-10,4.54747350886465e-13,2.0327206584625e-10,7.68523022998126e-11,0.999997117961811,0.983725356392824,0.999999999999545,1.69393388205208e-09,0.00172371464577737,4.54747350886465e-13,0.999999988804575,0.96323871434879,0.00501646403381529,0.999999979461336,1.39607436722145e-10,0.970131942849093,0.520444466578283,0.999999929135356,0.999999963383743,0.999999999708962,1.25737642520108e-09,0.922233310273896,3.22590494761244e-07,0.0898432523717929,0.0168305939209859,4.54747350886465e-12,1.13686837721616e-11
1.25663872593987e-07,3.99940067246966e-56,0.993127174913377,7.25632251429949e-21,1.58864059853904e-47,6.77860158919754e-20,2.32551640787133e-21,0.780144701259463,1,0.993127174913377,7.41421619111606e-44,6.58841316025745e-29,0.993127174913377,7.9370855971703e-05,1,0.00201548271450704,0.501749056154897,7.04670820946071e-23,7.04670820946071e-23,3.9856511444782e-52,1,0.972790817661255,0.434098957317318,0.972790817661255,2.2216229545191e-34,1,0.000344845594563709,0.895525280227947,0.993127174913377,5.20694502688886e-06,0.258793679773399,1,0.107047484924668,8.40171643885887e-11,5.20694502688886e-06,1.67733417820656e-32,5.7395027560358e-37
0.676891758811994,0.975904794542392,0.802910366043496,0.676891758811994,0.676891758811994,0.543483409839564,0.543483409839564,0.975904794542392,0.802910366043496,1,0.543483409839564,0.0872459279329869,0.302667041316609,0.138676727477369,0.907047032123695,0.907047032123695,1,0.209931160372348,0.802910366043496,0.209931160372348,0.975904794542392,0.907047032123695,0.802910366043496,0.975904794542392,0.41559303429868,0.907047032123695,0.907047032123695,0.802910366043496,0.907047032123695,0.975904794542392,0.543483409839564,0.802910366043496,0.676891758811994,0.907047032123695,0.676891758811994,0.41559303429868,0.543483409839564
1,0.993127174913377,5.4975010601557e-15,1,1,0.993127174913377,0.993127174913377,1.59008332422698e-06,7.96446661388067e-09,5.65584519819032e-62,1,0.993127174913377,9.2295206170822e-06,0.571997482031322,2.97319564754966e-16,1,0.00302755474537581,0.895525280227947,0.939818069516759,1,1.67733417820656e-32,0.00448553927180452,0.643148707342208,7.04670820946071e-23,1,3.86071362697225e-09,0.71324447547631,0.0188279315102582,1.4202645152675e-17,0.895525280227947,0.211882344332697,7.97127333888231e-16,0.171098264490972,0.972790817661255,0.895525280227947,0.993127174913377,0.993127174913377
0.907047032123695,0.302667041316609,0.975904794542392,0.975904794542392,0.975904794542392,0.907047032123695,0.975904794542392,0.676891758811994,0.802910366043496,0.138676727477369,0.975904794542392,1,1,1,0.543483409839564,0.802910366043496,0.41559303429868,1,0.907047032123695,1,0.676891758811994,0.802910366043496,0.802910366043496,0.543483409839564,0.975904794542392,0.676891758811994,0.802910366043496,0.543483409839564,0.676891758811994,0.41559303429868,1,0.802910366043496,0.975904794542392,0.907047032123695,0.907047032123695,1,0.975904794542392
